,,"Demographic Information, Households and Race/Ethnicity",,,,,,,,,,,,,,,,,,,,,,,,,Children in Poverty < 18,,,,,,,,,,,,,,,,,,,Teen Pregnancy,,,Substance Abuse Treatment,,,,,Child Abuse and Neglect Related Fatalities (2010-2014),,,Substantiated < 18 (2010-2014),,,Rankings - Larger Numbers Indicate Higher Risk (1=lowest risk),,,,,,,
ZCTA,County Name,Corresponding Counties,Total Population (2010-2014),2010 Child Population (under 18),2011 Child Population (under 18),2012 Child Population (under 18),2013 Child Population (under 18),2014 Child Population (under 18),Child Population (under 18) 5yr,Not Hispanic or Latino,"Non-Hispanic, White Alone","Non-Hispanic, Black or African American Alone","Non-Hispanic, American Indian and Alaska Native Alone","Non-Hispanic, Asian Alone","Non-Hispanic, Native Hawaiian and Pacific Islander Alone","Non-Hispanic, Other Alone","Non-Hispanic, Two or More Races",Hispanic or Latino,"Hispanic or Latino, White Alone","Hispanic or Latino, Black or African American Alone","Hispanic or Latino, American Indian and Alaska Native Alone","Hispanic or Latino, Asian Alone","Hispanic or Latino, Native Hawaiian and Pacific Islander Alone","Hispanic or Latino, Other Alone","Hispanic or Latino, Two or More Races",Total Family Households 5yr,Female-headed Household with Child 5yr,Total Estimated Child Population < 18yrs,Children in Poverty (under 18) 5yr,Average of Child Poverty (under 18) 5yr,Under 5 in poverty (male),5 Years in poverty (male),6 to 11 in Poverty (male),12 to 14 in Poverty (male),15 years in Poverty (male),16 and 17 in Poverty (male),Under 5 in Poverty (female),5 Years in Poverty (female),6 to 11 in Poverty (female),12 to 14 in Poverty (female),15 years in Poverty (female),16 and 17 in Poverty (female),Teen Birth and Married ,No Teen Birth and Married,Teen Birth and Unmarried (15-19yrs),No Teen Birth and Unmarried,Number of Teen Births (15-19yrs); 2008-2012 American Community Survey,Total Female Population (15-19yrs); 2008-2012 American Community Survey,Average Teen Birth(15-19yrs); 2008-2012 American Community Survey,Unique Clients Admitted for Substance Abuse Treatment (*=suppressed),Number of state funded substance abuse service types utilized by individuals,Drug- Related Offenses,Domestic Violence Offenses,Average Substance Abuse Treatment; 2008-2012 American Community Survey,Child Abuse and Neglect Fatalities 5yr,Aggregated Child Population Estimate (2010 - 2014),Average Child Abuse and Neglect Related Fatalities < 18yrs,Total Number of Substantiated Cases (under 18) ,2010 - 2014 Aggregated Child Population Estimate (under 18) ,Average Number of Substantiated Cases (under 18),Poverty Ranking for Children (under 18) 5yr,Teen Births (15-19) 5yr,Substance Abuse Rating,Child Abuse and Neglect Fatalities 5yr,Substantiated Abuse Rating  (under 18),Mean of Overall Risk Rankings,Overall Risk Ranking
77515,Brazoria County,Brazoria County,30359,7760,7366,7562,7480,7726,7579,20529,15793,4135,100,273,0,0,228,9507,7592,155,4,0,0,1611,145,9779,997,7726,1339,17.33%,85,28,276,80,73,33,114,52,328,77,65,128,0,0,38,1053,0,1091,3.48%,77,11,N/A,N/A,42.31%,1,7579,0.01%,286,7579,3.77%,755,1070,1648,1381,755,1121.8,1544
77517,Galveston County,Galveston County,5356,1356,2022,1711,1920,1386,1679,5504,5408,0,0,78,0,0,18,731,650,0,0,0,0,46,35,1925,206,1386,123,8.87%,88,0,0,0,0,0,0,0,0,19,0,16,0,0,0,361,0,361,0.00%,10,9,N/A,N/A,34.62%,0,1679,0.00%,53,1679,3.16%,411,1,1488,1,592,498.6,596
77518,Galveston County,Galveston County,8667,2431,2292,2197,2189,2766,2375,5216,4860,110,94,0,0,0,152,2599,2049,0,8,0,36,443,63,2692,174,2766,1126,40.71%,214,26,111,120,8,52,113,0,299,72,0,111,0,0,0,256,0,256,0.00%,26,12,N/A,N/A,46.15%,1,2375,0.04%,127,2375,5.35%,1539,1,1705,1736,1140,1224.2,1643
77519,Hardin County,Hardin County,1491,305,344,307,414,423,359,1464,1464,0,0,0,0,0,0,53,41,0,0,0,0,12,0,501,26,423,41,9.69%,0,0,0,0,0,19,13,0,0,0,9,0,0,0,0,55,0,55,0.00%,*,2,N/A,N/A,7.69%,0,359,0.00%,17,359,4.74%,440,1,684,1,1022,429.6,466
77520,Harris County,Harris County,37928,10814,11580,11282,11388,11516,11316,17271,12197,4072,74,457,41,32,398,20464,12546,137,312,71,0,7269,129,11957,1277,11516,3055,26.53%,338,120,454,302,141,102,501,126,475,224,114,158,59,55,64,1342,9,1520,8.09%,64,13,N/A,N/A,50.00%,2,11316,0.02%,406,11316,3.59%,1137,1337,1764,1533,701,1294.4,1702
77521,Chambers County,Chambers County;Harris County,53091,14564,13232,14402,14977,16493,14734,33078,20567,11048,262,707,20,60,414,17328,13218,286,67,0,0,3336,421,17333,1622,16493,4133,25.06%,510,131,831,366,85,249,591,140,830,218,82,100,0,10,35,1668,0,1713,2.04%,69,13,N/A,N/A,50.00%,2,14734,0.01%,440,14734,2.99%,1082,970,1764,1381,556,1150.6,1577
77521,Harris County,Chambers County;Harris County,53091,14564,13232,14402,14977,16493,14734,33078,20567,11048,262,707,20,60,414,17328,13218,286,67,0,0,3336,421,17333,1622,16493,4133,25.06%,510,131,831,366,85,249,591,140,830,218,82,100,0,10,35,1668,0,1713,2.04%,69,13,N/A,N/A,50.00%,2,14734,0.01%,440,14734,2.99%,1082,970,1764,1381,556,1150.6,1577
77523,Chambers County,Chambers County,18378,5365,5633,5948,5966,5845,5751,14754,12958,1259,25,169,0,0,343,3914,2565,12,28,5,0,886,418,5870,191,5845,575,9.84%,2,7,175,102,0,3,57,0,104,88,3,34,0,0,9,591,0,600,1.50%,0,0,N/A,N/A,0.00%,1,5751,0.02%,145,5751,2.52%,448,926,1,1533,448,671.2,920
77530,Harris County,Harris County,30475,10565,10830,10207,10069,10300,10394,12808,8256,3640,47,149,136,149,431,17560,12362,74,24,0,0,4745,355,9116,1121,10300,3841,37.29%,412,103,630,322,178,141,674,167,552,170,228,264,0,0,58,1548,54,1606,3.61%,48,14,N/A,N/A,53.85%,1,10394,0.01%,268,10394,2.58%,1457,1080,1834,1381,462,1242.8,1657
77531,Brazoria County,Brazoria County,15625,4698,4533,4568,4167,4364,4466,8570,6426,1818,61,12,0,0,253,6788,6254,0,0,0,0,466,68,5576,387,4364,1111,25.46%,214,76,250,111,12,9,201,9,203,26,0,0,3,10,30,515,50,558,5.91%,37,9,N/A,N/A,34.62%,0,4466,0.00%,220,4466,4.93%,1094,1219,1488,1,1063,973,1368
77532,Harris County,Harris County,28394,7289,6355,7281,7800,8261,7397,21904,16492,4487,80,305,83,0,457,5304,3215,77,0,0,0,1658,354,9059,606,8261,1567,18.97%,248,5,271,60,10,115,276,47,275,78,88,94,5,6,0,819,106,830,0.60%,21,8,N/A,N/A,30.77%,0,7397,0.00%,240,7397,3.24%,819,863,1409,1,612,740.8,1042
77533,Liberty County,Liberty County,876,279,292,272,254,253,270,812,797,9,6,0,0,0,0,15,15,0,0,0,0,0,0,274,19,253,65,25.69%,2,0,2,2,12,19,2,0,12,12,1,1,0,0,7,8,0,15,46.67%,*,1,N/A,N/A,3.85%,0,270,0.00%,13,270,4.81%,1104,1593,467,1,1035,840,1176
77534,Brazoria County,Brazoria County,3270,845,966,866,804,811,858,2156,2136,5,0,0,0,0,15,832,716,0,5,0,0,93,18,982,36,811,17,2.10%,0,0,0,0,9,8,0,0,0,0,0,0,0,20,0,83,39,103,0.00%,*,1,N/A,N/A,3.85%,0,858,0.00%,30,858,3.49%,188,1,467,1,677,266.8,234
77535,Chambers County,Chambers County;Liberty County,30946,7562,7911,7004,7269,6972,7344,25006,21077,3340,63,169,17,10,330,6013,4301,54,81,0,9,1394,174,9348,579,6972,1110,15.92%,111,70,158,85,50,86,237,32,144,22,43,72,4,51,13,1034,251,1102,1.54%,23,10,N/A,N/A,38.46%,2,7344,0.03%,448,7344,6.10%,701,931,1575,1660,1318,1237,1652
77535,Liberty County,Chambers County;Liberty County,30946,7562,7911,7004,7269,6972,7344,25006,21077,3340,63,169,17,10,330,6013,4301,54,81,0,9,1394,174,9348,579,6972,1110,15.92%,111,70,158,85,50,86,237,32,144,22,43,72,4,51,13,1034,251,1102,1.54%,23,10,N/A,N/A,38.46%,2,7344,0.03%,448,7344,6.10%,701,931,1575,1660,1318,1237,1652
77536,Harris County,Harris County,31960,8242,7995,8225,8557,8818,8367,23426,22022,556,162,519,0,0,167,7869,5810,0,214,0,0,1745,100,10499,845,8818,1173,13.30%,153,44,150,118,0,112,216,16,238,9,28,89,11,94,16,1015,0,1136,2.38%,36,11,N/A,N/A,42.31%,2,8367,0.02%,221,8367,2.64%,584,989,1648,1533,474,1045.6,1462
77538,Liberty County,Liberty County,967,242,227,248,241,221,236,819,676,135,0,0,0,3,5,305,123,0,0,0,0,177,5,405,26,221,36,16.29%,0,0,3,8,0,2,0,1,2,20,0,0,0,0,5,24,0,29,17.24%,*,1,N/A,N/A,3.85%,0,236,0.00%,0,236,0.00%,725,1519,467,1,1,542.6,663
77539,Galveston County,Galveston County,41090,10275,10473,10614,10613,10431,10481,28106,21960,4102,46,1556,17,19,406,12262,10404,212,42,69,0,1199,336,13871,807,10431,1981,18.99%,274,12,450,140,0,93,257,18,436,142,100,59,13,15,29,1218,0,1275,3.29%,73,15,N/A,N/A,57.69%,2,10481,0.02%,403,10481,3.84%,821,1051,1869,1533,772,1209.2,1632
77541,Brazoria County,Brazoria County,17826,5259,4746,4514,4765,4746,4806,9787,8332,1208,48,80,0,8,111,7748,6295,44,0,0,0,1278,131,6135,674,4746,1499,31.58%,184,61,292,53,63,24,251,97,277,140,31,26,0,2,69,500,0,571,12.08%,43,5,N/A,N/A,19.23%,2,4806,0.04%,319,4806,6.64%,1312,1455,1090,1736,1421,1402.8,1802
77545,Fort Bend County,Fort Bend County,21080,6795,6377,6662,6797,7069,6740,14682,701,13471,0,147,0,0,363,5186,2984,28,0,0,0,2095,79,5566,764,7069,663,9.38%,71,0,182,10,0,61,65,36,112,97,12,17,26,7,41,915,0,989,6.77%,22,7,N/A,N/A,26.92%,0,6740,0.00%,212,6740,3.15%,425,1272,1308,1,589,719,1005
77546,Galveston County,Galveston County;Harris County,49979,13294,13442,12816,13220,13171,13189,41825,35157,2956,58,2795,0,7,852,7430,5976,16,155,0,0,671,612,16951,734,13171,596,4.53%,71,27,97,109,0,48,37,0,70,96,0,41,0,61,12,1643,0,1716,0.70%,28,10,N/A,N/A,38.46%,1,13189,0.01%,205,13189,1.55%,253,870,1575,1381,267,869.2,1221
77546,Harris County,Galveston County;Harris County,49979,13294,13442,12816,13220,13171,13189,41825,35157,2956,58,2795,0,7,852,7430,5976,16,155,0,0,671,612,16951,734,13171,596,4.53%,71,27,97,109,0,48,37,0,70,96,0,41,0,61,12,1643,0,1716,0.70%,28,10,N/A,N/A,38.46%,1,13189,0.01%,205,13189,1.55%,253,870,1575,1381,267,869.2,1221
77547,Harris County,Harris County,9957,3272,3050,3170,3134,2993,3124,2141,1294,840,0,7,0,0,0,7641,6625,25,0,0,0,983,8,2728,309,2993,780,26.06%,53,37,61,38,0,58,184,29,240,33,23,24,5,0,42,585,0,632,7.44%,*,2,N/A,N/A,7.69%,0,3124,0.00%,73,3124,2.34%,1117,1303,684,1,411,703.2,985
77550,Galveston County,Galveston County,22134,4604,4541,4489,4661,4328,4525,16247,8875,5841,61,1009,39,21,401,6512,5716,143,33,0,0,515,105,10212,958,4328,1930,44.59%,239,84,341,109,79,127,352,21,346,122,41,69,0,0,20,756,0,776,2.58%,141,16,N/A,N/A,61.54%,0,4525,0.00%,310,4525,6.85%,1620,1003,1896,1,1446,1193.2,1620
77551,Galveston County,Galveston County,19640,3739,3870,3861,3913,4299,3936,11432,7527,2894,56,780,0,12,163,7217,6267,7,0,0,0,691,252,7176,539,4299,1398,32.52%,156,83,151,93,28,104,221,33,254,150,116,9,14,0,15,639,36,668,4.34%,77,14,N/A,N/A,53.85%,1,3936,0.03%,163,3936,4.14%,1342,1131,1834,1660,865,1366.4,1774
77554,Galveston County,Galveston County,8599,1030,1095,1308,922,810,1033,7500,7009,222,22,173,0,20,54,1091,1036,12,18,0,0,3,22,3925,167,810,79,9.75%,15,0,21,9,0,11,9,0,7,7,0,0,0,0,0,376,0,376,0.00%,10,8,N/A,N/A,30.77%,0,1033,0.00%,14,1033,1.36%,445,1,1409,1,226,416.4,453
77560,Chambers County,Chambers County;Liberty County,668,232,233,271,234,114,217,892,550,334,4,0,0,0,4,0,0,0,0,0,0,0,0,320,0,114,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,96,24,0.00%,*,2,N/A,N/A,7.69%,0,217,0.00%,14,217,6.46%,1,1,684,1,1381,413.6,451
77560,Liberty County,Chambers County;Liberty County,668,232,233,271,234,114,217,892,550,334,4,0,0,0,4,0,0,0,0,0,0,0,0,320,0,114,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,96,24,0.00%,*,2,N/A,N/A,7.69%,0,217,0.00%,14,217,6.46%,1,1,684,1,1381,413.6,451
77561,Liberty County,Liberty County,78,7,0,6,6,6,5,105,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,6,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,N/A,*,1,N/A,N/A,3.85%,0,5,0.00%,2,5,40.00%,1,N/A,467,1,1889,589.5,751
77562,Harris County,Harris County,10720,2707,2956,3196,2938,3000,2959,8064,7328,685,0,19,0,15,17,2687,1736,0,0,0,0,897,54,3538,204,3000,657,21.90%,50,44,43,87,10,12,196,0,164,16,0,35,0,0,0,353,0,353,0.00%,20,12,N/A,N/A,46.15%,0,2959,0.00%,142,2959,4.80%,942,1,1705,1,1033,736.4,1035
77563,Galveston County,Galveston County,9836,2159,2358,2371,2463,2203,2311,7496,5099,2235,0,45,0,5,112,2343,2207,7,0,0,0,129,0,3873,406,2203,856,38.86%,173,0,213,45,27,57,80,20,111,104,13,13,0,0,0,162,0,162,0.00%,20,8,N/A,N/A,30.77%,0,2311,0.00%,125,2311,5.41%,1491,1,1409,1,1155,811.4,1149
77564,Hardin County,Hardin County;Liberty County,1848,455,209,416,387,375,368,1914,1914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,732,51,375,41,10.93%,0,0,0,0,0,0,41,0,0,0,0,0,0,0,23,80,91,103,22.33%,0,0,N/A,N/A,0.00%,1,368,0.27%,14,368,3.80%,496,1550,1,1901,765,942.6,1320
77564,Liberty County,Hardin County;Liberty County,1848,455,209,416,387,375,368,1914,1914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,732,51,375,41,10.93%,0,0,0,0,0,0,41,0,0,0,0,0,0,0,23,80,91,103,22.33%,0,0,N/A,N/A,0.00%,1,368,0.27%,14,368,3.80%,496,1550,1,1901,765,942.6,1320
77565,Galveston County,Galveston County,6086,1122,1155,1069,999,989,1067,4915,4578,87,15,182,0,0,53,820,623,0,47,0,0,61,89,2544,131,989,60,6.07%,13,0,27,1,2,8,0,0,5,4,0,0,0,0,0,134,0,134,0.00%,*,3,N/A,N/A,11.54%,1,1067,0.09%,27,1067,2.53%,317,1,824,1856,449,689.4,964
77566,Brazoria County,Brazoria County,28533,7515,7631,7466,7521,7224,7471,22424,19682,1173,84,871,0,75,539,6060,4466,97,10,0,0,1444,43,10405,672,7224,701,9.70%,24,5,205,6,0,6,109,0,129,159,0,58,0,5,94,988,0,1087,8.65%,56,9,N/A,N/A,34.62%,0,7471,0.00%,243,7471,3.25%,441,1355,1488,1,619,780.8,1094
77568,Galveston County,Galveston County,14886,3601,3686,3805,4199,4066,3871,11157,5027,5517,20,105,0,0,488,3488,3039,184,0,0,0,242,23,5259,435,4066,1142,28.09%,98,19,140,77,38,144,96,73,337,74,4,42,0,0,0,443,0,443,0.00%,30,11,N/A,N/A,42.31%,0,3871,0.00%,180,3871,4.65%,1205,1,1648,1,994,769.8,1078
77571,Harris County,Harris County,36580,9620,9697,9396,9506,9610,9566,25734,21926,2130,85,567,9,162,855,10382,7509,91,205,0,0,2290,287,12277,948,9610,1427,14.85%,70,2,256,150,0,58,240,32,238,164,99,118,0,17,11,1277,2,1305,0.84%,55,13,N/A,N/A,50.00%,2,9566,0.02%,318,9566,3.32%,647,878,1764,1533,634,1091.2,1509
77573,Galveston County,Galveston County,75772,20577,20093,19647,20300,21185,20360,61326,49874,5820,37,3893,0,279,1423,12289,10256,7,39,0,0,1345,642,26386,1492,21185,1478,6.98%,161,0,582,162,122,235,57,0,134,0,16,9,0,15,0,2354,0,2369,0.00%,60,12,N/A,N/A,46.15%,4,20360,0.02%,402,20360,1.97%,349,1,1705,1533,337,785,1103
77575,Chambers County,Chambers County;Liberty County,16725,4104,4384,4176,3866,4553,4217,13325,10445,2678,41,63,0,6,92,2508,1356,7,19,0,0,877,249,5572,311,4553,1026,22.53%,197,5,153,16,0,63,89,12,286,161,22,22,14,0,26,534,12,574,6.97%,10,9,N/A,N/A,34.62%,0,4217,0.00%,236,4217,5.60%,970,1286,1488,1,1199,988.8,1389
77575,Liberty County,Chambers County;Liberty County,16725,4104,4384,4176,3866,4553,4217,13325,10445,2678,41,63,0,6,92,2508,1356,7,19,0,0,877,249,5572,311,4553,1026,22.53%,197,5,153,16,0,63,89,12,286,161,22,22,14,0,26,534,12,574,6.97%,10,9,N/A,N/A,34.62%,0,4217,0.00%,236,4217,5.60%,970,1286,1488,1,1199,988.8,1389
77577,Brazoria County,Brazoria County,1376,298,224,219,261,361,273,1045,990,45,0,0,0,0,10,321,306,0,3,0,0,9,3,514,20,361,18,4.99%,9,0,0,0,0,7,0,0,0,0,2,0,0,0,2,17,0,19,10.53%,*,2,N/A,N/A,7.69%,0,273,0.00%,133,273,48.79%,274,1419,684,1,1894,854.4,1199
77578,Brazoria County,Brazoria County,15584,3647,3594,3586,3711,4319,3771,11816,7197,3181,92,1187,0,0,159,2336,1819,0,0,0,0,494,23,5169,331,4319,216,5.00%,31,15,19,0,46,0,0,0,50,0,55,0,0,0,14,407,0,421,3.33%,13,5,N/A,N/A,19.23%,0,3771,0.00%,97,3771,2.57%,275,1057,1090,1,459,576.4,727
77580,Chambers County,Chambers County,515,78,170,118,88,196,130,319,315,0,4,0,0,0,0,0,0,0,0,0,0,0,0,117,41,196,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,10,0.00%,*,3,N/A,N/A,11.54%,0,130,0.00%,0,130,0.00%,1,1,824,1,1,165.6,157
77581,Brazoria County,Brazoria County;Harris County,44451,11452,12210,11344,11579,12352,11787,31102,24911,3367,130,2129,0,8,557,10711,8387,280,0,24,14,1552,454,15082,1134,12352,1011,8.18%,165,18,101,92,9,60,194,35,96,121,31,89,0,124,63,1376,0,1563,4.03%,19,10,N/A,N/A,38.46%,0,11787,0.00%,257,11787,2.18%,392,1108,1575,1,376,690.4,966
77581,Harris County,Brazoria County;Harris County,44451,11452,12210,11344,11579,12352,11787,31102,24911,3367,130,2129,0,8,557,10711,8387,280,0,24,14,1552,454,15082,1134,12352,1011,8.18%,165,18,101,92,9,60,194,35,96,121,31,89,0,124,63,1376,0,1563,4.03%,19,10,N/A,N/A,38.46%,0,11787,0.00%,257,11787,2.18%,392,1108,1575,1,376,690.4,966
77583,Brazoria County,Brazoria County;Fort Bend County,31353,7433,7654,7484,8371,8394,7867,18293,9910,6635,41,1633,0,24,50,12544,9783,106,40,0,0,2415,200,6698,532,8394,1616,19.25%,228,48,334,245,158,12,108,42,315,71,55,0,0,0,0,856,42,856,0.00%,18,6,N/A,N/A,23.08%,0,7867,0.00%,166,7867,2.11%,830,1,1209,1,365,481.2,557
77583,Fort Bend County,Brazoria County;Fort Bend County,31353,7433,7654,7484,8371,8394,7867,18293,9910,6635,41,1633,0,24,50,12544,9783,106,40,0,0,2415,200,6698,532,8394,1616,19.25%,228,48,334,245,158,12,108,42,315,71,55,0,0,0,0,856,42,856,0.00%,18,6,N/A,N/A,23.08%,0,7867,0.00%,166,7867,2.11%,830,1,1209,1,365,481.2,557
77584,Brazoria County,Brazoria County;Fort Bend County,76495,21660,20379,22148,22814,23033,22007,60505,30839,14722,251,13097,0,16,1580,14256,9771,286,0,0,0,3825,374,25396,1791,23033,1914,8.31%,252,109,221,325,28,71,163,30,417,44,69,185,0,0,11,1845,67,1856,0.59%,39,10,N/A,N/A,38.46%,1,22007,0.00%,305,22007,1.39%,397,862,1575,1,230,613,791
77584,Fort Bend County,Brazoria County;Fort Bend County,76495,21660,20379,22148,22814,23033,22007,60505,30839,14722,251,13097,0,16,1580,14256,9771,286,0,0,0,3825,374,25396,1791,23033,1914,8.31%,252,109,221,325,28,71,163,30,417,44,69,185,0,0,11,1845,67,1856,0.59%,39,10,N/A,N/A,38.46%,1,22007,0.00%,305,22007,1.39%,397,862,1575,1,230,613,791
77585,Hardin County,Hardin County,1146,237,351,308,325,341,312,1059,1009,0,45,5,0,0,0,116,0,0,0,0,0,116,0,391,57,341,33,9.68%,0,0,0,0,0,0,18,15,0,0,0,0,0,0,0,19,0,19,0.00%,*,1,N/A,N/A,3.85%,0,312,0.00%,30,312,9.60%,439,1,467,1,1692,520,634
77586,Harris County,Harris County,22114,5004,4978,5472,5578,5654,5337,19182,16547,508,146,1404,0,94,483,2862,1881,36,0,0,0,778,167,8236,367,5654,432,7.64%,175,14,88,19,0,84,19,0,10,23,0,0,0,10,13,984,0,1007,1.29%,30,12,N/A,N/A,46.15%,2,5337,0.04%,106,5337,1.99%,374,909,1705,1736,341,1013,1417
77587,Harris County,Harris County,17052,5528,5313,5352,5579,5590,5472,2177,1579,259,88,219,0,0,32,14557,9587,32,298,13,0,4400,227,4717,655,5590,2158,38.60%,307,29,476,124,102,81,352,34,471,117,22,43,21,0,54,484,11,559,13.42%,26,12,N/A,N/A,46.15%,1,5472,0.02%,114,5472,2.08%,1484,1480,1705,1533,360,1312.4,1718
77590,Galveston County,Galveston County,30675,8288,8034,8620,7801,8054,8159,19916,14158,5016,150,32,0,203,357,10064,8840,18,9,44,0,853,300,10878,1305,8054,2270,28.18%,291,31,391,109,69,148,417,69,343,286,11,105,43,16,36,1139,0,1234,6.40%,81,16,N/A,N/A,61.54%,0,8159,0.00%,342,8159,4.19%,1207,1246,1896,1,875,1045,1459
77591,Galveston County,Galveston County,13681,3287,3205,3390,3507,3688,3415,11433,3959,7079,0,153,0,26,216,2473,2158,75,0,0,0,240,0,5547,494,3688,1174,31.83%,177,0,222,124,6,18,161,105,126,102,7,126,10,0,0,336,0,346,2.89%,36,13,N/A,N/A,50.00%,1,3415,0.03%,210,3415,6.15%,1319,1026,1764,1660,1328,1419.4,1820
77597,Chambers County,Chambers County,694,164,109,71,107,153,121,659,370,101,4,125,0,0,59,0,0,0,0,0,0,0,0,227,10,153,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,14,5,0.00%,0,0,N/A,N/A,0.00%,0,121,0.00%,7,121,5.79%,1,1,1,1,1234,247.6,217
77598,Harris County,Harris County,24538,5103,5745,6078,6077,6353,5871,16027,11378,3118,14,1037,18,0,462,7711,5361,121,205,0,0,1251,773,9905,1126,6353,1089,17.14%,251,22,239,9,7,8,180,0,132,113,40,88,24,15,86,846,9,971,11.33%,26,7,N/A,N/A,26.92%,1,5871,0.02%,153,5871,2.61%,747,1439,1308,1533,469,1099.2,1517
77611,Orange County,Orange County,8211,2090,2392,2583,2444,2314,2365,7603,7216,8,109,132,0,0,138,812,658,0,0,0,0,130,24,2906,261,2314,360,15.56%,61,35,27,0,0,20,65,35,25,36,0,56,0,24,0,211,0,235,0.00%,13,6,N/A,N/A,23.08%,0,2365,0.00%,120,2365,5.07%,687,1,1209,1,1090,597.6,772
77612,Jasper County,Jasper County;Newton County,9413,2228,1809,2055,2267,2407,2153,9108,8621,226,22,91,8,0,140,49,46,0,0,0,0,3,0,3385,123,2407,385,16.00%,32,0,94,10,0,53,74,0,122,0,0,0,0,19,0,351,0,370,0.00%,12,6,N/A,N/A,23.08%,0,2153,0.00%,110,2153,5.11%,707,1,1209,1,1099,603.4,778
77612,Newton County,Jasper County;Newton County,9413,2228,1809,2055,2267,2407,2153,9108,8621,226,22,91,8,0,140,49,46,0,0,0,0,3,0,3385,123,2407,385,16.00%,32,0,94,10,0,53,74,0,122,0,0,0,0,19,0,351,0,370,0.00%,12,6,N/A,N/A,23.08%,0,2153,0.00%,110,2153,5.11%,707,1,1209,1,1099,603.4,778
77613,Jefferson County,Jefferson County,873,262,224,170,178,170,201,849,744,101,4,0,0,0,0,40,40,0,0,0,0,0,0,390,9,170,32,18.82%,0,0,16,0,0,0,0,0,8,8,0,0,0,0,0,54,0,54,0.00%,*,2,N/A,N/A,7.69%,0,201,0.00%,16,201,7.97%,815,1,684,1,1575,615.2,795
77614,Newton County,Newton County,842,135,67,56,108,160,105,733,733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,245,0,160,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,N/A,0,0,N/A,N/A,0.00%,0,105,0.00%,9,105,8.56%,1,N/A,1,1,1627,407.5,437
77615,Jasper County,Jasper County,792,283,243,198,199,185,222,808,761,0,3,39,0,3,2,20,0,0,0,0,0,20,0,308,6,185,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,19,0.00%,*,1,N/A,N/A,3.85%,0,222,0.00%,5,222,2.26%,1,1,467,1,397,173.4,161
77616,Tyler County,Tyler County,751,279,251,202,152,98,196,886,886,0,0,0,0,0,0,18,0,0,0,0,0,18,0,358,0,98,57,58.16%,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,N/A,0,0,N/A,N/A,0.00%,0,196,0.00%,8,196,4.07%,1766,N/A,1,1,844,653,885
77617,Galveston County,Galveston County,79,5,10,0,0,0,3,94,94,0,0,0,0,0,0,5,5,0,0,0,0,0,0,57,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,N/A,0,0,N/A,N/A,0.00%,0,3,0.00%,2,3,66.67%,N/A,N/A,1,1,1897,633,838
77619,Jefferson County,Jefferson County,15927,3775,3473,3679,3672,3739,3668,12896,11297,1036,15,361,14,0,173,3070,2306,0,0,0,0,764,0,6345,546,3739,878,23.48%,99,46,199,103,44,11,199,13,82,31,0,51,0,0,22,334,0,356,6.18%,38,8,N/A,N/A,30.77%,1,3668,0.03%,158,3668,4.31%,1006,1232,1409,1660,901,1241.6,1654
77622,Jefferson County,Jefferson County,1562,315,321,354,348,345,337,1624,1617,0,7,0,0,0,0,4,4,0,0,0,0,0,0,539,20,345,52,15.07%,18,0,0,4,0,0,0,0,30,0,0,0,0,0,0,41,14,41,0.00%,*,2,N/A,N/A,7.69%,0,337,0.00%,15,337,4.46%,663,1,684,1,939,457.6,510
77623,Galveston County,Galveston County,659,82,135,257,239,185,180,583,580,0,0,0,0,0,3,233,233,0,0,0,0,0,0,264,14,185,52,28.11%,0,0,3,3,3,7,10,0,12,14,0,0,0,0,0,33,0,33,0.00%,*,4,N/A,N/A,15.38%,0,180,0.00%,3,180,1.67%,1206,1,952,1,290,490,573
77624,Tyler County,Tyler County,1184,163,276,228,149,185,200,897,753,142,0,0,0,0,2,224,224,0,0,0,0,0,0,474,15,185,12,6.49%,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0.00%,0,0,N/A,N/A,0.00%,0,200,0.00%,9,200,4.50%,325,1,1,1,951,255.8,224
77625,Hardin County,Hardin County,8542,2100,1995,2078,1944,2121,2048,7877,6851,790,9,110,20,0,97,376,342,20,0,0,0,14,0,3188,206,2121,669,31.54%,77,34,78,178,36,22,74,45,28,84,0,13,0,0,0,205,0,205,0.00%,10,4,N/A,N/A,15.38%,1,2048,0.05%,123,2048,6.01%,1309,1,952,1779,1296,1067.4,1490
